no,Participant,Direct,SD,parinf,parsup,Stimulustype,Age,Gender,Volunteer,PSE,PSEinf,PSEsup
222,LG,Indirect,2.5177097,0.83431499,3.254758,Tennis,47,f,TRUE,2.61E+00,1.74E+00,3.63E+00
223,LW,Indirect,2.866531,1.51889172,4.00512,Tennis,40,f,TRUE,1.47E+00,1.05E-01,2.69E+00
224,ME,Indirect,2.850313,1.68562458,3.642909,Tennis,37,f,TRUE,3.71E+00,2.29E+00,4.79E+00
225,MG,Indirect,3.0295124,1.59670285,3.967403,Tennis,37,m,TRUE,1.86E+00,7.02E-01,3.29E+00
226,ML,Indirect,3.5764093,2.29115914,4.439823,Tennis,53,m,TRUE,2.04E+00,7.19E-01,3.62E+00
227,MW,Indirect,4.8443596,2.97520542,6.465855,Tennis,34,f,TRUE,9.44E-01,-5.46E-01,2.58E+00
228,ND,Indirect,4.6774278,3.18571351,6.47174,Tennis,18,f,FALSE,5.65E-01,-1.07E+00,2.02E+00
229,NK,Indirect,6.1015063,4.06198438,8.722103,Tennis,25,f,TRUE,-2.02E+00,-3.79E+00,-2.18E-01
230,NL,Indirect,2.5839915,1.47761764,3.283742,Tennis,30,m,TRUE,-2.46E-01,-1.35E+00,8.76E-01
231,NV,Indirect,2.416893,1.34172022,3.466258,Tennis,18,f,FALSE,1.54E+00,2.60E-01,2.58E+00
232,OA,Indirect,3.4794724,2.04202582,5.006447,Tennis,34,m,TRUE,2.91E+00,1.30E+00,4.01E+00
233,PK,Indirect,1.8566426,0.40292124,2.685134,Tennis,61,m,TRUE,2.50E+00,1.75E+00,3.28E+00
234,PR,Indirect,4.3506657,2.73647498,6.102954,Tennis,30,f,FALSE,3.15E+00,1.96E+00,4.73E+00
235,PS,Indirect,4.7492663,3.4195532,6.716136,Tennis,27,f,TRUE,1.66E+00,5.19E-02,3.09E+00
236,RAJ,Indirect,2.4971834,1.22274281,3.152459,Tennis,25,m,TRUE,1.88E+00,7.93E-01,3.08E+00
237,RB,Indirect,6.6862958,4.50190905,9.330859,Tennis,24,m,FALSE,-1.52E+00,-3.78E+00,1.48E-01
238,RE,Indirect,2.8777475,1.5880196,3.764688,Tennis,29,f,TRUE,3.53E+00,2.37E+00,4.83E+00
239,RJ,Indirect,3.6956269,2.57317684,4.88793,Tennis,25,f,FALSE,1.11E+00,2.35E-02,2.17E+00
240,RK,Indirect,3.6142263,2.24559423,4.526376,Tennis,23,f,FALSE,2.54E+00,1.16E+00,3.98E+00
241,RM,Indirect,10.9836285,7.10337655,21.295342,Tennis,21,m,FALSE,1.86E+00,-1.71E+00,4.77E+00
242,RR,Indirect,3.9667113,2.92648371,5.41895,Tennis,60,f,TRUE,1.73E+00,1.53E-01,3.32E+00
243,SM,Indirect,5.4060972,3.80263859,7.246759,Tennis,34,m,TRUE,6.19E-01,-1.09E+00,1.92E+00
244,SN,Indirect,5.9693442,3.84121627,8.165053,Tennis,23,m,FALSE,4.00E+00,2.15E+00,6.47E+00
245,SR,Indirect,3.7071925,2.48563573,4.991386,Tennis,18,f,FALSE,4.38E+00,3.23E+00,5.82E+00
246,SS,Indirect,4.535356,2.90059314,6.18056,Tennis,19,f,FALSE,-2.87E+00,-4.65E+00,-1.30E+00
247,TK,Indirect,13.618319,5.47653893,38.335783,Tennis,18,m,FALSE,-1.84E+01,-5.21E+01,-9.58E+00
248,VR,Indirect,6.630748,4.32141648,9.710595,Tennis,21,f,FALSE,2.94E+00,1.23E+00,5.19E+00
249,WB,Indirect,5.2683763,3.74866288,7.098988,Tennis,50,m,TRUE,-3.44E+00,-5.79E+00,-2.36E+00
250,WW,Indirect,2.5800446,1.38743632,3.425887,Tennis,73,m,TRUE,1.70E+00,7.80E-01,3.00E+00
251,YA,Indirect,3.7296549,2.32625194,5.23022,Tennis,46,f,FALSE,1.06E+00,-4.59E-01,2.44E+00
252,YM,Indirect,4.1711448,2.68549014,5.572227,Tennis,25,m,TRUE,2.41E+00,1.05E+00,3.98E+00
,,,,,,,,,,,,
